start-listening,S T AA R T L IH S AH N IH NG
start-listening,S T AA R T L IH S N IH NG
stop-listening,S T AA P L IH S AH N IH NG
stop-listening,S T AA P L IH S N IH NG
spell-that,S P EH L DH AE T
spell-that,S P EH L DH AH T
scratch-that,S K R AE CH DH AE T
scratch-that,S K R AE CH TH AE T
correct-that,K ER R EH K T DH AE T
correct-that,K ER R EH K T TH AE T
fix-that,F IH K S DH AE T
fix-that,F IH K S TH AE T
