dir,D ER
dir,D Y ER
dir,D AY R
dir,D IH R
div,D IH V
ul,Y UW EH L
li,EH L AY
args,ER G Z
args,AA G Z
def,D EH F
elif,EH L IH F
sys,S IH S
opengl,OW P AH N JH IY EH L
openglcontext,OW P AH N JH IY EH L K AA N T EH K S T
context,K AA N T EH K S T
gl,JH IY EH L
gui,G UW IY
primitives,P R IH M IH T IH V Z
